OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
OtsBON2018Adult	OtsBonn18-042518-1.03	OtsRAPH14S_0860	OtsRAPH14S_2101	OtsRAPH14S	-1	0.000000	0.000000	22.111520	0.999653	0.999653	C_Se_Se	0	0	4623	374	9	9	9	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-042618-1.04	OtsRAPH14S_1680	OtsRAPH14S_2711	OtsRAPH14S	-1	0.000000	0.000000	19.795615	0.996491	0.996491	C_Se_Se	0	0	856	138	5	5	5	0	1	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050318-1.04	---	---	---	---	---	---	---	---	---	---	0	0	455	13	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-1.05	---	---	---	---	---	---	---	---	---	---	0	0	371	12	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-1.07	---	---	---	---	---	---	---	---	---	---	0	0	2038	89	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.01	OtsDWOR13S_1275	OtsDWOR13S_1390	OtsDWOR13S	-1	5.162403	0.618000	9.327752	0.008011	0.628862	C_Si_Se	0	0	6678	368	10	10	10	0	0	0	1	0	4	Ots_112419131,Ots_96500180,Ots_GPH318,Ots_nkef192
OtsBON2018Adult	OtsBonn18-050318-2.02	---	---	---	---	---	---	---	---	---	---	0	0	182	24	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.04	---	---	---	---	---	---	---	---	---	---	0	0	1884	90	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.05	OtsRAPH14S_0638	OtsRAPH14S_1882	OtsRAPH14S	-1	0.000000	0.000000	21.430785	0.999314	0.999314	C_Se_Se	0	0	5237	195	6	6	6	1	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050718-05.10	---	---	---	---	---	---	---	---	---	---	0	0	261	19	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050718-06.01	OtsRAPH14S_0523	OtsRAPH14S_0910	OtsRAPH14S	-1	0.059876	0.318000	9.593349	0.010423	0.347186	C_Si_Si	0	0	749	85	1	1	1	1	0	0	2	1	4	Ots_11820561,Ots_GTH2B550,Ots_HMGB173,Ots_nkef192
OtsBON2018Adult	OtsBonn18-050718-06.02	OtsRAPH14S_0697	OtsRAPH14S_1941	OtsRAPH14S	-1	0.000350	0.001000	19.179056	0.993520	0.993520	C_Se_Se	0	0	3523	555	16	16	16	1	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050718-06.07	OtsRAPH14S_0583	OtsRAPH14S_1827	OtsRAPH14S	-1	0.000000	0.000000	22.204828	0.999684	0.999684	C_Se_Se	0	0	320	13	4	4	4	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050718-06.10	OtsRAPH14S_1856	OtsRAPH14S_2791	OtsRAPH14S	-1	0.000272	0.001000	20.488952	0.998243	0.998243	C_Se_Se	0	0	742	60	4	4	4	0	0	1	1	0	1	Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-051118-03.07	---	---	---	---	---	---	---	---	---	---	0	0	2083	76	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-051118-03.09	OtsRAPH14S_0926	OtsRAPH14S_2166	OtsRAPH14S	-1	0.000000	0.000000	24.073931	0.999951	0.999951	C_Se_Se	0	0	79	9	2	2	2	0	2	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-051118-04.02	OtsDWOR13S_0266	OtsDWOR13S_0703	OtsDWOR13S	-1	5.568935	1.000000	6.893700	0.000708	0.552919	C_U_U	0	0	185	7	4	4	4	0	0	1	2	0	2	Ots_103122180,Ots_96899357R
OtsBON2018Adult	OtsBonn18-051118-04.03	OtsPBT12-CarsonNFH-2380-0025	OtsPBT12-CarsonNFH-2386-0016	OtsCAR12	-1	0.498000	0.498000	6.966432	0.000761	0.311896	F_U	0	0	5559	217	1	1	1	1	2	0	1	2	4	Ots_115987325,Ots_129458451,Ots_E2275,Ots_TGFB
OtsBON2018Adult	OtsBonn18-052118-05.03	OtsDWOR15S_0535	OtsDWOR15S_0957	OtsDWOR15S	-1	1.134829	0.777000	7.321206	0.001085	0.443536	C_U_U	0	0	3954	251	4	4	4	4	0	0	1	2	4	Ots_105385421,Ots_11055164,Ots_ARNT,Ots_GPH318
OtsBON2018Adult	OtsBonn18-052118-05.05	OtsRAPH14S_0326	OtsRAPH14S_1573	OtsRAPH14S	-1	0.000000	0.000000	20.794136	0.998704	0.998704	C_Se_Se	0	0	977	309	7	7	7	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-05.08	OtsRAPH14S_0952	OtsRAPH14S_2192	OtsRAPH14S	-1	0.000490	0.002000	18.745258	0.990035	0.990035	C_Se_Se	0	0	4469	1273	65	65	65	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-05.09	OtsRAPH13S_0798	OtsRAPH13S_1124	OtsRAPH13S	-1	0.001000	0.001000	19.931102	0.996935	0.996935	C_Se_Se	0	0	6488	337	13	13	13	2	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-05.10	OtsRAPH14S_1940	OtsRAPH14S_2630	OtsRAPH14S	-1	0.001020	0.005000	18.505009	0.987363	0.987363	C_Se_Se	0	0	4636	284	9	9	9	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-06.03	OtsRAPH14S_0697	OtsRAPH14S_1941	OtsRAPH14S	-1	0.000668	0.003000	18.957868	0.991928	0.991928	C_Se_Se	0	0	2304	232	15	15	15	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-06.05	---	---	---	---	---	---	---	---	---	---	0	0	208	6	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052118-06.07	OtsNPFH16S_0206	OtsNPFH16S_0454	OtsNPFH16S	-1	0.230000	0.230000	9.759660	0.012286	0.323085	C_Si_U	0	0	3196	296	3	3	3	0	0	9	1	1	3	Ots_105385421,Ots_112419131,Ots_96899357R
OtsBON2018Adult	OtsBonn18-052418-06.02	OtsPAHH14S_0155	OtsPAHH14S_0555	OtsPAHH14S	-1	0.000000	0.000000	18.327306	0.984943	0.984943	C_Se_Se	0	0	7961	1137	32	32	32	5	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-06.06	OtsPBT17-SpLWS-0341	OtsPBT17-SpLWS-1755	OtsLWS17S_sp	-1	0.489000	0.489000	9.844535	0.013360	0.256879	C_Si_U	0	0	8177	906	8	8	8	0	3	4	2	2	4	Ots_105105613,Ots_CirpA,Ots_ntl255,Ots_OTSTF1SNP1
OtsBON2018Adult	OtsBonn18-052418-06.07	---	---	---	---	---	---	---	---	---	---	0	0	1101	70	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052418-07.01	OtsDWOR14S_1396	OtsDWOR14S_1537	OtsDWOR14S	-1	0.000000	0.000000	21.706235	0.999479	0.999479	C_Se_Se	0	0	860	60	5	5	5	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-07.02	OtsPBT17-CarsonNFH-0016	OtsPBT17-CarsonNFH-0572	OtsCAR17S	-1	0.697000	0.697000	9.757221	0.012256	0.312490	C_Si_U	0	0	562	129	6	6	6	0	4	2	1	2	4	Ots_11230143,Ots_11820561,Ots_SClkF2R2135,Ots_u100275
OtsBON2018Adult	OtsBonn18-052418-07.07	Ots-RBHPBT13-0156	Ots-RBHPBT13-0377	OtsRB13	-1	0.311000	0.311000	6.585666	0.000520	0.663177	C_U_U	0	0	1996	97	1	1	1	1	1	2	0	0	4	Ots_109525816,Ots_11820561,Ots_tpx2125,Ots_unk526
OtsBON2018Adult	OtsBonn18-052418-07.10	OtsPBT15-LWSFa-1275	OtsPBT15-LWSFa-8842	OtsLWS15_sufa	-1	1.006372	0.082000	16.025411	0.867476	0.867476	C_Se_Se	0	0	24887	123265	2279	2279	2279	1	2	0	0	0	0	---
