OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
OtsBON2018Adult	OtsBonn18-052118-05.03	---	---	---	---	---	---	---	---	---	---	0	0	3954	251	0	0	0	4	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052118-05.05	OtsRAPH14S_0326	OtsRAPH14S_1573	OtsRAPH14S	-1	0.000000	0.000000	20.794136	0.998704	0.998704	C_Se_Se	0	0	977	309	3	3	3	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-05.08	OtsRAPH14S_0952	OtsRAPH14S_2192	OtsRAPH14S	-1	0.000000	0.000000	18.745258	0.990035	0.990035	C_Se_Se	0	0	4469	1273	3	3	3	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-05.09	OtsRAPH13S_0798	OtsRAPH13S_1124	OtsRAPH13S	-1	0.000000	0.000000	19.931102	0.996935	0.996935	C_Se_Se	0	0	6488	337	1	1	1	2	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-05.10	OtsRAPH14S_1940	OtsRAPH14S_2630	OtsRAPH14S	-1	0.000000	0.002000	18.505009	0.987363	0.987363	C_Se_Se	0	0	4636	284	2	2	2	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-06.03	OtsRAPH14S_0697	OtsRAPH14S_1941	OtsRAPH14S	-1	0.000000	0.000000	18.957868	0.991928	0.991928	C_Se_Se	0	0	2304	232	1	1	1	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052118-06.05	---	---	---	---	---	---	---	---	---	---	0	0	208	6	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052118-06.07	---	---	---	---	---	---	---	---	---	---	0	0	3196	296	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052418-06.02	OtsPAHH14S_0155	OtsPAHH14S_0555	OtsPAHH14S	-1	0.000000	0.000000	18.327306	0.984943	0.984943	C_Se_Se	0	0	7961	1137	3	3	3	5	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-06.06	---	---	---	---	---	---	---	---	---	---	0	0	8177	906	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052418-06.07	---	---	---	---	---	---	---	---	---	---	0	0	1101	70	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052418-07.01	OtsDWOR14S_1396	OtsDWOR14S_1537	OtsDWOR14S	-1	0.000000	0.000000	21.706235	0.999479	0.999479	C_Se_Se	0	0	860	60	4	4	4	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-07.02	---	---	---	---	---	---	---	---	---	---	0	0	562	129	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052418-07.07	---	---	---	---	---	---	---	---	---	---	0	0	1996	97	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052418-07.10	OtsPBT15-LWSFa-1275	OtsPBT15-LWSFa-8842	OtsLWS15_sufa	-1	0.000759	0.004000	16.025411	0.867476	0.867476	C_Se_Se	0	0	24887	123265	125	125	125	1	2	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-08.02	OtsRAPH14S_0335	OtsRAPH14S_1582	OtsRAPH14S	-1	0.000000	0.000000	19.734089	0.996270	0.996270	C_Se_Se	0	0	4459	160	1	1	1	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-052418-08.07	---	---	---	---	---	---	---	---	---	---	0	0	777	51	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052518-01.07	---	---	---	---	---	---	---	---	---	---	0	0	5201	241	0	0	0	6	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-052518-01.08	---	---	---	---	---	---	---	---	---	---	0	0	1846	78	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060118-03.08	---	---	---	---	---	---	---	---	---	---	0	0	11045	570	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060118-03.09	OtsPAHH14S_0105	OtsPAHH14S_0505	OtsPAHH14S	-1	0.000000	0.000000	20.076677	0.997349	0.997349	C_Se_Se	0	0	3239	125	2	2	2	2	1	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-060118-03.10	---	---	---	---	---	---	---	---	---	---	0	0	901	75	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-01.01	---	---	---	---	---	---	---	---	---	---	0	0	1672	71	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-01.03	---	---	---	---	---	---	---	---	---	---	0	0	509	20	0	0	0	3	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-01.05	---	---	---	---	---	---	---	---	---	---	0	0	8189	443	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-01.08	---	---	---	---	---	---	---	---	---	---	0	0	2739	142	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-02.01	---	---	---	---	---	---	---	---	---	---	0	0	841	96	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-02.03	---	---	---	---	---	---	---	---	---	---	0	0	3659	233	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-02.04	---	---	---	---	---	---	---	---	---	---	0	0	3757	229	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-060418-02.05	OtsPBT14-PRH-0055	OtsPBT14-PRH-7241	OtsPRH14	-1	0.002996	0.021000	13.757417	0.403916	0.403916	C_Se_Se	0	0	3628	1733	7	7	7	0	0	0	0	0	1	Ots_103122180
OtsBON2018Adult	OtsBonn18-060418-02.09	OtsPBT14-LF-Fall-0278	OtsPBT14-LF-Fall-0921	OtsLYON14S_1	-1	0.163000	0.163000	10.424786	0.023619	0.421521	C_U_U	0	0	3895	120	1	1	1	0	0	0	0	0	3	Ots_105132200,Ots_hsc713488,Ots_Ikaros250
OtsBON2018Adult	OtsBonn18-061518-01.01	OtsLWSFallPBT2014-0236	OtsLWSFallPBT2014-6899	OtsLWS14_sufa	-1	0.001222	0.019000	14.200529	0.513481	0.513481	C_Se_Se	0	0	5173	3458	9	9	9	1	0	0	0	1	2	Ots_112419131,Ots_hsc713488
OtsBON2018Adult	OtsBonn18-061518-01.02	---	---	---	---	---	---	---	---	---	---	0	0	955	110	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-061518-01.10	OtsPBT15-LWSFa-6667	OtsPBT15-LWSFa-6794	OtsLWS15_sufa	-1	0.000759	0.010000	15.461922	0.788404	0.788404	C_Se_Se	0	0	19639	92648	85	85	85	0	1	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-061518-02.06	Ots-LWSFallPBT13-6022	Ots-LWSFallPBT13-6315	OtsLWS13_sufa	-1	0.002336	0.014000	14.838259	0.666338	0.666338	C_Se_Se	0	0	7162	52107	43	43	43	0	0	0	1	0	1	Ots_pop596
OtsBON2018Adult	OtsBonn18-061518-02.07	OtsLWSFallPBT2014-3771	OtsLWSFallPBT2014-7002	OtsLWS14_sufa	-1	0.000972	0.068000	12.819421	0.209628	0.464338	C_Se_Si	0	0	10703	584	5	5	5	0	0	0	0	1	3	Ots_105105613,Ots_108820336,Ots_mapK3309
OtsBON2018Adult	OtsBonn18-061818-01.06	OtsDWOR13S_0223	OtsDWOR13S_0831	OtsDWOR13S	-1	0.071226	0.033000	10.073715	0.016743	0.732322	C_U_U	0	0	6757	659	1	1	1	0	0	0	0	0	1	Ots_u0718378
OtsBON2018Adult	OtsBonn18-061818-01.07	OtsPBT15-LWSFa-2786	OtsPBT15-LWSFa-5386	OtsLWS15_sufa	-1	0.001138	0.009000	15.768837	0.835105	0.835105	C_Se_Se	0	0	8156	6319	25	25	25	0	0	0	0	0	1	Ots_u21185
OtsBON2018Adult	OtsBonn18-061818-01.10	OtsPBT15-LWSFa-6860	OtsPBT15-LWSFa-8644	OtsLWS15_sufa	-1	0.001315	0.052000	13.007843	0.242550	0.393452	C_Se_U	0	0	19933	1345	8	8	8	0	0	0	0	0	2	Ots_GCSH,Ots_HSP90B100
OtsBON2018Adult	OtsBonn18-061818-02.01	---	---	---	---	---	---	---	---	---	---	0	0	663	57	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-061918-01.04	OtsPBT15-LWSFa-0607	OtsPBT15-LWSFa-8423	OtsLWS15_sufa	-1	0.001207	0.035000	13.911028	0.441380	0.441380	C_Se_Se	0	0	3961	3280	16	16	16	0	0	0	1	1	2	Ots_brp1664,Ots_u0707161
OtsBON2018Adult	OtsBonn18-061918-01.09	OtsPBT15-MCCA15S_0029	OtsPBT15-MCCA15S_1252	OtsMCCA15S	-1	0.039000	0.039000	11.185723	0.049225	0.534204	C_U_Se	0	0	744	179	2	2	2	0	0	0	0	0	2	Ots_105132200,Ots_u0749290
OtsBON2018Adult	OtsBonn18-062818-01.01	OtsChiefJosPBT13INT-0080	OtsChiefJosPBT13INT-0084	OtsCJH13int_sufa	-1	0.001368	0.026000	15.098170	0.721433	0.721433	C_Se_Se	0	0	1509	153	3	3	3	0	0	0	2	0	2	Ots_11230143,Ots_S71
OtsBON2018Adult	OtsBonn18-062818-01.03	OtsPBT15-LWSFa-2352	OtsPBT15-LWSFa-8734	OtsLWS15_sufa	-1	0.001328	0.035000	13.374208	0.315964	0.386371	C_Se_Si	0	0	2298	88	2	2	2	0	0	0	0	2	2	Ots_ntl255,Ots_Prl2
OtsBON2018Adult	OtsBonn18-062818-01.05	OtsPBT17-LWSFa-2459	OtsPBT17-LWSFa-5023	OtsLWS17S_fa	-1	0.003597	0.054000	14.747024	0.645756	0.645756	C_Se_Se	0	0	6419	521	6	6	6	0	2	2	1	0	2	Ots_GCSH,Ots_vatf251
OtsBON2018Adult	OtsBonn18-062818-01.09	---	---	---	---	---	---	---	---	---	---	0	0	257	2	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-062818-01.10	OtsPBT12-PRH-2794	OtsPBT12-PRH-3789	OtsPRH12	-1	0.003047	0.088000	10.463724	0.024534	0.435554	C_Se_Si	0	0	4086	298	2	2	2	0	0	0	0	1	2	Ots_112876371,Ots_vatf251
OtsBON2018Adult	OtsBonn18-062818-02.02	OtsPBT16-LWSFa-6315	OtsPBT16-LWSFa-8301	OtsLWS16_sufa	-1	0.000888	0.074000	11.527948	0.067948	0.488473	C_U_U	0	0	14442	3032	8	8	8	0	0	0	0	1	1	Ots_vatf251
OtsBON2018Adult	OtsBonn18-062818-02.05	OtsPBT15-LWSFa-2862	OtsPBT15-LWSFa-9374	OtsLWS15_sufa	-1	0.000948	0.010000	14.081079	0.483628	0.483628	C_Se_Se	0	0	10795	34300	42	42	42	0	8	1	1	0	1	Ots_112876371
OtsBON2018Adult	OtsBonn18-062918-01.06	OtsPBT16-LWSFa-5450	OtsPBT16-LWSFa-5378	OtsLWS16_sufa	-1	0.000620	0.042000	11.977221	0.102535	0.372696	C_U_U	0	0	4625	5198	10	10	10	0	0	0	2	1	3	Ots_110689218,Ots_CD592,Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-062918-01.08	OTSPBT14RE-549	OTSPBT14RE-595	OtsEASTBK14_su	-1	0.000000	0.000000	18.630405	0.988836	0.988836	C_Se_Se	0	0	15863	5157	32	32	32	0	8	3	0	0	0	---
OtsBON2018Adult	OtsBonn18-071818-01.05	---	---	---	---	---	---	---	---	---	---	0	0	2752	93	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-071818-01.09	OtsPBT14-PRH-3450	OtsPBT14-PRH-5699	OtsPRH14	-1	0.007039	0.222000	10.887948	0.037018	0.340619	C_Se_Si	0	0	4344	225	4	4	4	0	0	1	0	0	3	Ots_ETIF1A,Ots_HSP90B100,Ots_mapK3309
OtsBON2018Adult	OtsBonn18-071918-01.02	OtsPBT16-LWSFa-1468	OtsPBT16-LWSFa-2243	OtsLWS16_sufa	-1	0.001230	0.109000	10.186720	0.018709	0.525385	C_Si_Se	0	0	802	55	1	1	1	0	0	0	1	0	4	Ots_110495380,Ots_96500180,Ots_HMGB173,Ots_u0717135
OtsBON2018Adult	OtsBonn18-071918-01.09	---	---	---	---	---	---	---	---	---	---	0	0	1735	55	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-071918-02.01	OtsPBT14-PRH-0496	OtsPBT14-PRH-2649	OtsPRH14	-1	0.002663	0.028000	14.745589	0.645427	0.645427	C_Se_Se	0	0	7816	629	6	6	6	0	0	0	1	0	2	Ots_105132200,Ots_HMGB173
OtsBON2018Adult	OtsBonn18-072018-01.01	OtsPBT15-LWSFa-1870	OtsPBT15-LWSFa-4249	OtsLWS15_sufa	-1	0.001342	0.046000	13.021404	0.245050	0.324515	F_U	0	0	7829	2769	12	12	12	0	1	0	1	0	1	Ots_129458451
OtsBON2018Adult	OtsBonn18-082018-02.09	OtsLYON15S_1_0887	OtsLYON15S_1_1893	OtsLYON15S_1	-1	0.014824	0.158000	10.608574	0.028250	0.450385	C_Si_Se	0	0	7352	226	1	1	1	0	0	1	0	0	4	Ots_105385421,Ots_11820561,Ots_OTDESMIN19SNP1,Ots_u492
OtsBON2018Adult	OtsBonn18-082018-03.02	OtsPBT17-LWSFa-1982	OtsPBT17-LWSFa-6154	OtsLWS17S_fa	-1	0.004604	0.158000	12.162967	0.120933	0.406912	C_U_U	0	0	16322	1722	9	9	9	1	3	2	0	0	2	Ots_cox1241,Ots_E2275
OtsBON2018Adult	OtsBonn18-082018-03.04	OtsPBT14-PRH-1878	OtsPBT14-PRH-3801	OtsPRH14	-1	0.004470	0.094000	12.021404	0.106673	0.398150	C_U_U	0	0	2030	705	6	6	6	0	0	0	1	0	1	Ots_11820561
OtsBON2018Adult	OtsBonn18-082018-03.07	---	---	---	---	---	---	---	---	---	---	0	0	2480	90	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-082118-01.01	OtsPBT17-PRHFa-8707S5401	OtsPBT17-PRHFa-1572S6987	OtsPRHFa17S	-1	0.000646	0.020000	13.909030	0.440888	0.440888	C_Se_Se	0	0	20286	17491	20	20	20	0	2	7	0	0	1	Ots_u0717135
OtsBON2018Adult	OtsBonn18-082118-01.02	---	---	---	---	---	---	---	---	---	---	0	0	3092	105	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-082118-01.07	OtsPBT15-LWSFa-1873	OtsPBT15-LWSFa-2495	OtsLWS15_sufa	-1	0.001296	0.041000	13.123134	0.264355	0.337626	C_Si_Se	0	0	8105	468	4	4	4	0	1	0	2	1	3	Ots_124774477,Ots_94857232R,Ots_96500180
OtsBON2018Adult	OtsBonn18-082118-01.08	OtsLWSFallPBT2014-0093	OtsLWSFallPBT2014-7569	OtsLWS14_sufa	-1	0.001181	0.101000	12.248842	0.130364	0.480988	C_U_U	0	0	15698	157	5	5	5	0	0	0	0	0	2	Ots_105105613,Ots_105132200
OtsBON2018Adult	OtsBonn18-082818-03.07	OtsLWSFallPBT2014-1852	OtsLWSFallPBT2014-2582	OtsLWS14_sufa	-1	0.002059	0.016000	13.803087	0.414959	0.414959	C_Se_Se	0	0	8228	4314	12	12	12	0	0	0	0	1	2	Ots_9490399R,Ots_GPH318
OtsBON2018Adult	OtsBonn18-082818-03.08	OtsPBT16-PRHFa-06561	OtsPBT16-PRHFa-08052	OtsPRH16	-1	0.005650	0.012000	13.844410	0.425025	0.425025	C_Se_Se	0	0	9296	10940	11	11	11	0	0	0	1	0	1	Ots_Prl2
OtsBON2018Adult	OtsBonn18-082818-03.09	OtsPBT15-LWSFa-4446	OtsPBT15-LWSFa-8582	OtsLWS15_sufa	-1	0.001383	0.062000	14.356228	0.552218	0.552218	C_Se_Se	0	0	19882	719	12	12	12	0	1	0	0	0	2	Ots_ppie245,Ots_u0725325
OtsBON2018Adult	OtsBonn18-083018-03.10	OtsLWSFallPBT2014-3131	OtsLWSFallPBT2014-3299	OtsLWS14_sufa	-1	0.001128	0.114000	12.523308	0.164753	0.263440	C_U_U	0	0	1006	94	3	3	3	0	1	0	1	1	2	Ots_117432409,Ots_u0707161
OtsBON2018Adult	OtsBonn18-083018-04.01	OtsPBT14-PRH-0643	OtsPBT14-PRH-6164	OtsPRH14	-1	0.004566	0.016000	15.577496	0.807042	0.807042	C_Se_Se	0	0	7143	3215	22	22	22	0	1	0	0	1	1	Ots_113242216
OtsBON2018Adult	OtsBonn18-083018-04.02	---	---	---	---	---	---	---	---	---	---	0	0	2061	68	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-083018-04.03	OtsPBT15-PRHFa-4384	OtsPBT15-PRHFa-4490	OtsPRH15	-1	0.001883	0.052000	12.599205	0.175464	0.394916	C_Si_Se	0	0	5078	697	6	6	6	0	0	0	1	0	3	Ots_108820336,Ots_110064383,Ots_MHC2
OtsBON2018Adult	OtsBonn18-083018-04.04	OtsPBT15-LWSFa-3063	OtsPBT15-LWSFa-8217	OtsLWS15_sufa	-1	0.001382	0.051000	11.686561	0.078708	0.352699	C_Se_Si	0	0	5112	127	1	1	1	0	0	0	0	1	4	Ots_113242216,Ots_IL8R_C8,Ots_u100275,Ots_u675
OtsBON2018Adult	OtsBonn18-083018-04.05	---	---	---	---	---	---	---	---	---	---	0	0	726	32	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-083018-04.06	OtsPBT17-LWSFa-2134	OtsPBT17-LWSFa-3683	OtsLWS17S_fa	-1	0.004103	0.132000	11.371201	0.058669	0.373395	C_U_U	0	0	5915	294	2	2	2	0	3	3	0	0	3	Ots_102801308,Ots_11230143,Ots_TGFB
OtsBON2018Adult	OtsBonn18-083018-04.07	OtsPBT12-PRH-2899	OtsPBT12-PRH-3059	OtsPRH12	-1	0.002389	0.023000	13.204072	0.280392	0.329139	C_U_U	0	0	9464	8581	12	12	12	0	0	1	0	1	2	Ots_hsc713488,Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-083018-04.08	OtsLWSFallPBT2014-3079	OtsLWSFallPBT2014-7180	OtsLWS14_sufa	-1	0.000981	0.061000	10.607585	0.028223	0.365638	C_U_U	0	0	5521	416	1	1	1	0	0	0	1	0	3	Ots_Est740,Ots_mybp85,Ots_u675
OtsBON2018Adult	OtsBonn18-083018-04.10	OtsPBT16-PRHFa-07040	OtsPBT16-PRHFa-09279	OtsPRH16	-1	0.005085	0.027000	13.901259	0.438973	0.438973	C_Se_Se	0	0	31946	60359	61	61	61	2	0	1	0	1	2	Ots_109525816,Ots_OTSTF1SNP1
OtsBON2018Adult	OtsBonn18-083018-05.01	OtsPBT13-PRH-4046	OtsPBT13-PRH-5329	OtsPRH13	-1	0.004860	0.032000	12.627873	0.179650	0.386061	C_Si_Se	0	0	5515	2516	6	6	6	0	1	0	1	0	2	Ots_117432409,Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-090518-04.03	---	---	---	---	---	---	---	---	---	---	0	0	2193	85	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-090518-04.04	OtsPBT17-PRHFa-7856	OtsPBT17-PRHFa-9226	OtsPRHFa17S	-1	0.000484	0.003000	15.222296	0.745680	0.745680	C_Se_Se	0	0	25691	54120	61	61	61	1	3	0	0	0	1	Ots_108820336
OtsBON2018Adult	OtsBonn18-090518-04.06	Ots-LWSFallPBT13-0441	Ots-LWSFallPBT13-7114	OtsLWS13_sufa	-1	0.002002	0.024000	13.780558	0.409500	0.409500	C_Se_Se	0	0	7901	5210	11	11	11	0	0	0	0	0	1	Ots_vatf251
OtsBON2018Adult	OtsBonn18-090518-04.07	OtsPBT16-LWSFa-0740	OtsPBT16-LWSFa-0801	OtsLWS16_sufa	-1	0.000640	0.010000	13.000836	0.241265	0.241265	C_Se_Se	0	0	4753	595	1	1	1	0	0	0	1	1	1	Ots_9490399R
OtsBON2018Adult	OtsBonn18-090518-04.08	---	---	---	---	---	---	---	---	---	---	0	0	6834	433	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-090518-04.10	OtsPBT12-PRH-0521	OtsPBT12-PRH-3799	OtsPRH12	-1	0.001800	0.026000	12.447829	0.154627	0.321436	C_U_U	0	0	4981	1325	3	3	3	0	4	1	0	1	1	Ots_mybp85
OtsBON2018Adult	OtsBonn18-090518-05.01	Ots-LWSFallPBT13-1723	Ots-LWSFallPBT13-5244	OtsLWS13_sufa	-1	0.003409	0.143000	11.176513	0.048796	0.228014	C_U_U	0	0	3454	1116	6	6	6	1	1	0	1	1	3	Ots_118938325,Ots_parp3286,Ots_S71
OtsBON2018Adult	OtsBonn18-090518-05.02	OtsPBT17-PRHFa-8773S5401	OtsPBT17-PRHFa-11102	OtsPRHFa17S	-1	0.002493	0.139000	10.828847	0.034967	0.348151	C_Si_Si	0	0	2367	33	1	1	1	0	2	0	1	1	4	Ots_105105613,Ots_11055164,Ots_112820284,Ots_TAPBP
OtsBON2018Adult	OtsBonn18-090518-05.04	OtsPBT15-NPTF-15151	OtsPBT15-NPTF-3350	OtsNPFH15S_1	-1	0.002481	0.068000	11.248234	0.052235	0.510249	C_U_U	0	0	6938	184	1	1	1	0	0	0	0	1	3	Ots_HMGB173,Ots_Thio,Ots_tpx2125
OtsBON2018Adult	OtsBonn18-090518-05.05	OtsPBT13-PRH-0174	OtsPBT13-PRH-8006	OtsPRH13	-1	0.003038	0.010000	15.404463	0.778660	0.778660	C_Se_Se	0	0	8710	31824	82	82	82	0	0	0	0	0	1	Ots_Thio
OtsBON2018Adult	OtsBonn18-091118-08.01	OtsPBT16-PRHFa-08119	OtsPBT16-PRHFa-08124	OtsPRH16	-1	0.000000	0.000000	17.480078	0.965560	0.965560	C_Se_Se	0	0	23527	42411	34	34	34	1	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-091118-08.02	OtsPBT17-LWSFa-2158	OtsPBT17-LWSFa-6046	OtsLWS17S_fa	-1	0.003561	0.084000	13.925263	0.444893	0.457459	C_Si_Se	0	0	2502	127	4	4	4	0	2	2	1	0	3	Ots_115987325,Ots_ARNT,Ots_GDH81x
OtsBON2018Adult	OtsBonn18-091118-08.04	---	---	---	---	---	---	---	---	---	---	0	0	703	60	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-091118-08.05	OtsPBT17-PRHFa-7937	OtsPBT17-PRHFa-8826	OtsPRHFa17S	-1	0.001292	0.064000	12.528193	0.165426	0.365166	C_Si_Se	0	0	5780	1840	9	9	9	0	3	0	1	0	2	Ots_103122180,Ots_113242216
OtsBON2018Adult	OtsBonn18-091118-08.06	---	---	---	---	---	---	---	---	---	---	0	0	5644	147	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-091118-08.07	---	---	---	---	---	---	---	---	---	---	0	0	1402	18	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-091218-01.01	OtsLWSFallPBT2014-0089	OtsLWSFallPBT2014-4697	OtsLWS14_sufa	-1	0.001062	0.033000	13.222248	0.284074	0.299579	C_U_U	0	0	7625	4311	14	14	14	0	1	0	0	0	1	Ots_108820336
OtsBON2018Adult	OtsBonn18-091218-01.02	OtsPBT14-Wells-0281	OtsPBT14-Wells-0301	OtsWELLS14	-1	0.135000	0.135000	11.915951	0.097033	0.358749	F_U	0	0	3469	768	8	8	8	0	0	0	1	2	3	Ots_110495380,Ots_mybp85,Ots_S71
