OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
OtsBON2018Adult	OtsBonn18-042518-1.03	OtsRAPH14S_0860	OtsRAPH14S_2101	OtsRAPH14S	-1	0.000000	0.000000	22.111520	0.999653	0.999653	C_Se_Se	0	0	4623	374	3	3	3	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-042618-1.04	OtsRAPH14S_1680	OtsRAPH14S_2711	OtsRAPH14S	-1	0.000000	0.000000	19.795615	0.996491	0.996491	C_Se_Se	0	0	856	138	1	1	1	0	1	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050318-1.04	---	---	---	---	---	---	---	---	---	---	0	0	455	13	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-1.05	---	---	---	---	---	---	---	---	---	---	0	0	371	12	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-1.07	---	---	---	---	---	---	---	---	---	---	0	0	2038	89	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.01	---	---	---	---	---	---	---	---	---	---	0	0	6678	368	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.02	---	---	---	---	---	---	---	---	---	---	0	0	182	24	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.04	---	---	---	---	---	---	---	---	---	---	0	0	1884	90	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050318-2.05	OtsRAPH14S_0638	OtsRAPH14S_1882	OtsRAPH14S	-1	0.000000	0.000000	21.430785	0.999314	0.999314	C_Se_Se	0	0	5237	195	3	3	3	1	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050718-05.10	---	---	---	---	---	---	---	---	---	---	0	0	261	19	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050718-06.01	---	---	---	---	---	---	---	---	---	---	0	0	749	85	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-050718-06.02	OtsRAPH14S_0697	OtsRAPH14S_1941	OtsRAPH14S	-1	0.000000	0.000000	19.179056	0.993520	0.993520	C_Se_Se	0	0	3523	555	1	1	1	1	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050718-06.07	OtsRAPH14S_0583	OtsRAPH14S_1827	OtsRAPH14S	-1	0.000000	0.001000	22.204828	0.999684	0.999684	C_Se_Se	0	0	320	13	3	3	3	0	0	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-050718-06.10	OtsRAPH14S_1856	OtsRAPH14S_2791	OtsRAPH14S	-1	0.000000	0.001000	20.488952	0.998243	0.998243	C_Se_Se	0	0	742	60	3	3	3	0	0	1	1	0	1	Ots_OTALDBINT1SNP1
OtsBON2018Adult	OtsBonn18-051118-03.07	---	---	---	---	---	---	---	---	---	---	0	0	2083	76	0	0	0	1	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-051118-03.09	OtsRAPH14S_0926	OtsRAPH14S_2166	OtsRAPH14S	-1	0.000000	0.000000	24.073931	0.999951	0.999951	C_Se_Se	0	0	79	9	2	2	2	0	2	0	0	0	0	---
OtsBON2018Adult	OtsBonn18-051118-04.02	---	---	---	---	---	---	---	---	---	---	0	0	185	7	0	0	0	0	---	---	---	---	---	---
OtsBON2018Adult	OtsBonn18-051118-04.03	---	---	---	---	---	---	---	---	---	---	0	0	5559	217	0	0	0	1	---	---	---	---	---	---
